Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.8 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0
EncounterTemplate run_seed=1777247517 templates=33
EncounterTemplate selected room=room_boss_approach_large_c01_08 encounter=boss template=flow_basics display=Flow Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_chokepoint_gate_medium_c_02 encounter=arena_room_chokepoint_gate_medium_c_02 template=movement_projectiles display=Movement + Projectiles repeated=false stage=unused_compatible tags=arena,combat,chokepoint,medium
EncounterTemplate selected room=room_combat_skirmish_small_c01_04 encounter=arena_room_combat_skirmish_small_c01_04 template=phase_basics display=Phase Basics repeated=false stage=unused_compatible tags=arena,combat,small
EncounterTemplate selected room=room_connector_narrow_medium_c01_06 encounter=arena_room_connector_narrow_medium_c01_06 template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=arena,corridor,connector,narrow
Dungeon Pipeline Graph: { "rooms": 9, "links": 8 }
Dungeon Pipeline Roles: { "sequence": ["spawn", "connection_room", "combat", "connection_room", "chokepoint", "connection_room", "combat", "connection_room", "boss"], "combat_room": "room_chokepoint_gate_medium_c_02", "connection_rooms": ["connection_room_01", "connection_room_03", "connection_room_05", "connection_room_07"] }
Dungeon Pipeline Spatial: { "start_room": "spawn_room_00", "boss_room": "room_boss_approach_large_c01_08" }
FPS_LOG t=8.2 fps=1 ms=1000.0 dc=38 obj=6790 prim=135988 rooms=2
FPS_LOG t=8.5 fps=1 ms=1000.0 dc=38 obj=6790 prim=135988 rooms=2
FPS_LOG t=8.7 fps=1 ms=1000.0 dc=38 obj=6790 prim=135988 rooms=2
FPS_LOG t=9.0 fps=1 ms=1000.0 dc=38 obj=6790 prim=135988 rooms=2
FPS_LOG t=9.2 fps=143 ms=7.0 dc=38 obj=6790 prim=135988 rooms=2
FPS_LOG t=9.5 fps=143 ms=7.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=9.7 fps=143 ms=7.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=10.0 fps=143 ms=7.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=10.3 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=10.5 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=10.8 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=11.0 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=11.3 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=11.5 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=11.8 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=12.0 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=12.3 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=12.5 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=12.8 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=13.1 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=13.3 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=13.6 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=13.8 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=14.1 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=14.3 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=14.6 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=14.8 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=15.1 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=15.3 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=15.6 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=15.9 fps=164 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=16.1 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=16.4 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=16.6 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=16.9 fps=166 ms=6.0 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=17.1 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=17.4 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=17.6 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=17.9 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=18.1 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
FPS_LOG t=18.4 fps=165 ms=6.1 dc=38 obj=6788 prim=135984 rooms=2
