Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.4 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777248984 templates=33
EncounterTemplate selected room=room_boss_approach_large_c01_08 encounter=boss template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_combat_tactical_medium_c02_02 encounter=arena_room_combat_tactical_medium_c02_02 template=first_control_loss display=First Control Loss repeated=false stage=unused_compatible tags=arena,combat,medium
EncounterTemplate selected room=room_connector_narrow_medium_c01_04 encounter=arena_room_connector_narrow_medium_c01_04 template=edge_basics display=Edge Basics repeated=false stage=unused_compatible tags=arena,corridor,connector,narrow
EncounterTemplate selected room=room_connector_narrow_medium_c_06 encounter=arena_room_connector_narrow_medium_c_06 template=flow_basics display=Flow Basics repeated=false stage=unused_compatible tags=arena,corridor,connector,narrow
Dungeon Pipeline Graph: { "rooms": 9, "links": 8 }
Dungeon Pipeline Roles: { "sequence": ["spawn", "connection_room", "combat", "connection_room", "chokepoint", "connection_room", "combat", "connection_room", "boss"], "combat_room": "room_combat_tactical_medium_c02_02", "connection_rooms": ["connection_room_01", "connection_room_03", "connection_room_05", "connection_room_07"] }
Dungeon Pipeline Spatial: { "start_room": "spawn_room_00", "boss_room": "room_boss_approach_large_c01_08" }
FPS_LOG t=7.8 fps=1 ms=1000.0 dc=36 obj=7268 prim=137276 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=8.1 fps=48 ms=20.8 dc=36 obj=7268 prim=137276 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=8.3 fps=48 ms=20.8 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=8.6 fps=48 ms=20.8 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=8.8 fps=48 ms=20.8 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=9.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=9.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=9.6 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=9.8 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=10.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=10.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=10.6 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=10.8 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=11.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=11.3 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=11.6 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=11.9 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=12.1 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
FPS_LOG t=12.4 fps=165 ms=6.1 dc=36 obj=7266 prim=137272 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c02_02]
