Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.5 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777249133 templates=33
EncounterTemplate selected room=room_boss_approach_large_c03_06 encounter=boss template=phase_basics display=Phase Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_connector_turn_medium_c01_02 encounter=arena_room_connector_turn_medium_c01_02 template=first_dash_threat display=First Dash Threat repeated=false stage=unused_compatible tags=arena,connector,turn,medium
EncounterTemplate selected room=room_combat_tactical_medium_c01_04 encounter=arena_room_combat_tactical_medium_c01_04 template=movement_projectiles display=Movement + Projectiles repeated=false stage=unused_compatible tags=arena,combat,medium
Dungeon Pipeline Graph: { "rooms": 7, "links": 6 }
Dungeon Pipeline Roles: { "sequence": ["spawn", "connection_room", "chokepoint", "connection_room", "combat", "connection_room", "boss"], "combat_room": "room_connector_turn_medium_c01_02", "connection_rooms": ["connection_room_01", "connection_room_03", "connection_room_05"] }
Dungeon Pipeline Spatial: { "start_room": "spawn_room_00", "boss_room": "room_boss_approach_large_c03_06" }
FPS_LOG t=7.9 fps=1 ms=1000.0 dc=5547 obj=6314 prim=150776 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c01_04]
FPS_LOG t=8.2 fps=16 ms=62.5 dc=5547 obj=6314 prim=150776 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c01_04]
FPS_LOG t=8.4 fps=16 ms=62.5 dc=5547 obj=6312 prim=150772 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c01_04]
FPS_LOG t=8.7 fps=16 ms=62.5 dc=5547 obj=6312 prim=150772 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c01_04]
FPS_LOG t=8.9 fps=16 ms=62.5 dc=5547 obj=6312 prim=150772 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c01_04]
FPS_LOG t=9.2 fps=101 ms=9.9 dc=5547 obj=6312 prim=150772 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c01_04]
FPS_LOG t=9.5 fps=101 ms=9.9 dc=5547 obj=6312 prim=150772 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c01_04]
FPS_LOG t=9.7 fps=101 ms=9.9 dc=5547 obj=6312 prim=150772 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c01_04]
FPS_LOG t=10.0 fps=101 ms=9.9 dc=5547 obj=6312 prim=150772 rooms=3 [spawn_room_00,connection_room_01,room_combat_tactical_medium_c01_04]
