Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Vulkan 1.4.315 - Forward+ - Using Device #0: AMD - AMD Radeon RX 6700 XT

FPS_LOG t=6.6 fps=1 ms=1000.0 dc=0 obj=0 prim=0 rooms=0 []
EncounterTemplate run_seed=1777249207 templates=33
EncounterTemplate selected room=room_boss_approach_large_c03_06 encounter=boss template=edge_basics display=Edge Basics repeated=false stage=unused_compatible tags=boss,boss_approach,connector,large
EncounterTemplate selected room=room_connector_junction_medium_c03_02 encounter=arena_room_connector_junction_medium_c03_02 template=movement_projectiles display=Movement + Projectiles repeated=false stage=unused_compatible tags=arena,connector,junction,medium
EncounterTemplate selected room=room_connector_narrow_medium_c03_04 encounter=arena_room_connector_narrow_medium_c03_04 template=mass_basics display=Mass Basics repeated=false stage=unused_compatible tags=arena,corridor,connector,narrow
Dungeon Pipeline Graph: { "rooms": 7, "links": 6 }
Dungeon Pipeline Roles: { "sequence": ["spawn", "connection_room", "chokepoint", "connection_room", "combat", "connection_room", "boss"], "combat_room": "room_connector_junction_medium_c03_02", "connection_rooms": ["connection_room_01", "connection_room_03", "connection_room_05"] }
Dungeon Pipeline Spatial: { "start_room": "spawn_room_00", "boss_room": "room_boss_approach_large_c03_06" }
FPS_LOG t=7.9 fps=1 ms=1000.0 dc=4821 obj=5588 prim=147146 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=8.2 fps=19 ms=52.6 dc=4821 obj=5588 prim=147146 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=8.4 fps=19 ms=52.6 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=8.7 fps=19 ms=52.6 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=8.9 fps=19 ms=52.6 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=9.2 fps=111 ms=9.0 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=9.4 fps=111 ms=9.0 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=9.7 fps=111 ms=9.0 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=10.0 fps=111 ms=9.0 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=10.2 fps=111 ms=9.0 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=10.5 fps=111 ms=9.0 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=10.7 fps=111 ms=9.0 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=11.0 fps=111 ms=9.0 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=11.2 fps=107 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=11.5 fps=107 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=11.7 fps=107 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=12.0 fps=107 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=12.2 fps=113 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=12.5 fps=113 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=12.7 fps=113 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=13.0 fps=113 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=13.3 fps=113 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=13.5 fps=113 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=13.8 fps=113 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=14.0 fps=108 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=14.3 fps=108 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=14.5 fps=108 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=14.8 fps=108 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=15.1 fps=114 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=15.3 fps=114 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=15.6 fps=114 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=15.8 fps=114 ms=8.8 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=16.1 fps=108 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=16.3 fps=108 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=16.6 fps=108 ms=9.3 dc=4821 obj=5586 prim=147142 rooms=2 [spawn_room_00,connection_room_01]
FPS_LOG t=16.9 fps=108 ms=9.3 dc=4821 obj=5590 prim=149118 rooms=3 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02]
FPS_LOG t=17.1 fps=78 ms=12.8 dc=4823 obj=5596 prim=150438 rooms=3 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02]
FPS_LOG t=17.4 fps=78 ms=12.8 dc=4825 obj=5606 prim=153938 rooms=3 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02]
FPS_LOG t=17.7 fps=78 ms=12.8 dc=4825 obj=5617 prim=156986 rooms=3 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02]
FPS_LOG t=17.9 fps=78 ms=12.8 dc=4824 obj=5603 prim=149866 rooms=4 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04]
FPS_LOG t=18.2 fps=63 ms=15.9 dc=4824 obj=5606 prim=150430 rooms=4 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04]
FPS_LOG t=18.5 fps=63 ms=15.9 dc=4822 obj=5602 prim=79920 rooms=4 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04]
FPS_LOG t=18.7 fps=63 ms=15.9 dc=4826 obj=5614 prim=82634 rooms=4 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04]
FPS_LOG t=19.0 fps=63 ms=15.9 dc=4827 obj=5624 prim=83866 rooms=4 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04]
FPS_LOG t=19.2 fps=66 ms=15.2 dc=4828 obj=5652 prim=91710 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=19.5 fps=66 ms=15.2 dc=4829 obj=5649 prim=91651 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=19.8 fps=66 ms=15.2 dc=4829 obj=5654 prim=92285 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=20.0 fps=58 ms=17.2 dc=4832 obj=5666 prim=137364 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=20.3 fps=58 ms=17.2 dc=4835 obj=5677 prim=143593 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=20.5 fps=58 ms=17.2 dc=4834 obj=5678 prim=140823 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=20.8 fps=58 ms=17.2 dc=4833 obj=5678 prim=140140 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=21.1 fps=57 ms=17.5 dc=4834 obj=5694 prim=145933 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=21.3 fps=57 ms=17.5 dc=4834 obj=5700 prim=146939 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
FPS_LOG t=21.6 fps=57 ms=17.5 dc=4835 obj=5710 prim=149887 rooms=5 [spawn_room_00,connection_room_01,room_connector_junction_medium_c03_02,room_connector_narrow_medium_c03_04,connection_room_03]
